"","Id","When","Cal","Alberta","BritishColumbia","Manitoba","NewBrunswick","NewfoundlandAndLabrador","NovaScotia","Ontario","PrinceEdwardIsland","Quebec","Saskatchewan","ModifiedDate"
"1",64425,"1/1/1992 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,129.46,NA,152.13,144.57,128.58,NA,"8/7/2020 9:08:35 AM"
"2",64426,"2/1/1992 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,147.08,NA,160.09,146.4,133.5,NA,"8/7/2020 9:08:35 AM"
"3",64427,"3/1/1992 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,149.76,NA,159.4,140.62,134.09,NA,"8/7/2020 9:08:35 AM"
"4",64428,"4/1/1992 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,143.49,NA,153.45,147.47,133.28,NA,"8/7/2020 9:08:35 AM"
"5",64429,"5/1/1992 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,146.05,NA,153.05,147.19,141.72,NA,"8/7/2020 9:08:35 AM"
"6",64430,"6/1/1992 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,145.14,NA,153.1,151.68,134.85,NA,"8/7/2020 9:08:35 AM"
"7",64431,"7/1/1992 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,151.52,NA,153.52,150.7,126.89,NA,"8/7/2020 9:08:35 AM"
"8",64432,"8/1/1992 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,143.46,NA,149.46,142.12,130.13,NA,"8/7/2020 9:08:35 AM"
"9",64433,"9/1/1992 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,135.42,NA,156.52,141.57,118.16,NA,"8/7/2020 9:08:35 AM"
"10",64434,"10/1/1992 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,140.51,NA,153.02,131.18,118.8,NA,"8/7/2020 9:08:35 AM"
"11",64435,"11/1/1992 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,139.62,NA,151.87,131.18,117.95,NA,"8/7/2020 9:08:35 AM"
"12",64436,"12/1/1992 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,144.41,NA,149.53,131.18,120.93,NA,"8/7/2020 9:08:35 AM"
"13",64437,"1/1/1993 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,143.94,NA,142.7,143.77,143.65,NA,"8/7/2020 9:08:35 AM"
"14",64438,"2/1/1993 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,141.22,NA,183.37,140.1,127.07,NA,"8/7/2020 9:08:35 AM"
"15",64439,"3/1/1993 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,141.22,NA,145.47,139.82,125.83,NA,"8/7/2020 9:08:35 AM"
"16",64440,"4/1/1993 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,102.05,NA,173.92,134.37,120.56,NA,"8/7/2020 9:08:35 AM"
"17",64441,"5/1/1993 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,92.96,NA,183.52,137.2,123,NA,"8/7/2020 9:08:35 AM"
"18",64442,"6/1/1993 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,115.73,NA,167.59,141.77,111.75,NA,"8/7/2020 9:08:35 AM"
"19",64443,"7/1/1993 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,108,NA,182.3,143.7,130.43,NA,"8/7/2020 9:08:35 AM"
"20",64444,"8/1/1993 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,100,NA,165,153.78,128.67,NA,"8/7/2020 9:08:35 AM"
"21",64445,"9/1/1993 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,96.25,NA,212.03,154.17,128.43,NA,"8/7/2020 9:08:35 AM"
"22",64446,"10/1/1993 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,132.86,NA,223.34,157.75,138,NA,"8/7/2020 9:08:35 AM"
"23",64447,"11/1/1993 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,132.86,NA,196.17,159.63,137.69,NA,"8/7/2020 9:08:35 AM"
"24",64448,"12/1/1993 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,132.86,NA,258.73,160.94,142.07,NA,"8/7/2020 9:08:35 AM"
"25",64449,"1/1/1994 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,166.91,NA,258.92,168.65,154.44,NA,"8/7/2020 9:08:35 AM"
"26",64450,"2/1/1994 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,175.34,NA,179.15,167.94,147.25,NA,"8/7/2020 9:08:35 AM"
"27",64451,"3/1/1994 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,168.5,NA,145.4,167.58,153.33,NA,"8/7/2020 9:08:35 AM"
"28",64452,"4/1/1994 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,171.67,NA,148.65,174.09,157.5,NA,"8/7/2020 9:08:35 AM"
"29",64453,"5/1/1994 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,174.61,NA,217.54,169.22,151.25,NA,"8/7/2020 9:08:35 AM"
"30",64454,"6/1/1994 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,174.82,NA,183.49,166.61,160.5,NA,"8/7/2020 9:08:35 AM"
"31",64455,"7/1/1994 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,170.42,NA,171.15,168.5,142.14,NA,"8/7/2020 9:08:35 AM"
"32",64456,"8/1/1994 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,164.41,NA,168.99,165.31,147.5,NA,"8/7/2020 9:08:35 AM"
"33",64457,"9/1/1994 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,165.92,NA,184.05,166.84,147.97,NA,"8/7/2020 9:08:35 AM"
"34",64458,"10/1/1994 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,176.39,NA,189.42,172.64,151.58,NA,"8/7/2020 9:08:35 AM"
"35",64459,"11/1/1994 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,176.41,NA,197.41,173.81,156.84,NA,"8/7/2020 9:08:35 AM"
"36",64460,"12/1/1994 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,175.12,NA,198.95,174.98,164.41,NA,"8/7/2020 9:08:35 AM"
"37",64461,"1/1/1995 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,206.41,NA,198.95,181.17,168.78,NA,"8/7/2020 9:08:35 AM"
"38",64462,"2/1/1995 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,194.28,NA,198.95,184.26,170.43,NA,"8/7/2020 9:08:35 AM"
"39",64463,"3/1/1995 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,188.99,NA,198.95,182.14,171.81,NA,"8/7/2020 9:08:35 AM"
"40",64464,"4/1/1995 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,171.41,NA,186.41,188.92,172.74,NA,"8/7/2020 9:08:35 AM"
"41",64465,"5/1/1995 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,188.91,NA,186.41,190.18,170.72,NA,"8/7/2020 9:08:35 AM"
"42",64466,"6/1/1995 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,196.41,NA,204.92,185.63,178.8,NA,"8/7/2020 9:08:35 AM"
"43",64467,"7/1/1995 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,196.41,NA,204.92,185.63,192.55,NA,"8/7/2020 9:08:35 AM"
"44",64468,"8/1/1995 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,215.55,NA,227.4,204.78,213.74,NA,"8/7/2020 9:08:35 AM"
"45",64469,"9/1/1995 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,220.04,NA,227.4,210.97,215.2,NA,"8/7/2020 9:08:35 AM"
"46",64470,"10/1/1995 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,236.92,NA,227.4,218.52,216.73,NA,"8/7/2020 9:08:35 AM"
"47",64471,"11/1/1995 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,198.57,NA,213.32,224.02,234.33,NA,"8/7/2020 9:08:35 AM"
"48",64472,"12/1/1995 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,238.32,NA,225.12,230.62,239.55,NA,"8/7/2020 9:08:35 AM"
"49",64473,"1/1/1996 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,239.32,NA,230.17,238.79,239.87,NA,"8/7/2020 9:08:35 AM"
"50",64474,"2/1/1996 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,239.32,NA,230.17,244.69,247.54,NA,"8/7/2020 9:08:35 AM"
"51",64475,"3/1/1996 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,239.32,NA,238.32,217.64,261.45,NA,"8/7/2020 9:08:35 AM"
"52",64476,"4/1/1996 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,239.32,NA,251.81,242.04,259.62,NA,"8/7/2020 9:08:35 AM"
"53",64477,"5/1/1996 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,239.32,NA,248.32,243.74,287.65,NA,"8/7/2020 9:08:35 AM"
"54",64478,"6/1/1996 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,239.32,NA,248.32,244.59,299.05,NA,"8/7/2020 9:08:35 AM"
"55",64479,"7/1/1996 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,239.32,NA,266.32,249.75,283.81,NA,"8/7/2020 9:08:35 AM"
"56",64480,"8/1/1996 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,189.34,NA,247.33,208.49,219.07,NA,"8/7/2020 9:08:35 AM"
"57",64481,"9/1/1996 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,193.16,NA,221.91,209.5,215.68,NA,"8/7/2020 9:08:35 AM"
"58",64482,"10/1/1996 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,193.16,NA,210.41,206.76,205.63,NA,"8/7/2020 9:08:35 AM"
"59",64483,"11/1/1996 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,193.16,NA,201.83,204.09,202.83,NA,"8/7/2020 9:08:35 AM"
"60",64484,"12/1/1996 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,194.34,NA,201.91,205.66,195.93,NA,"8/7/2020 9:08:35 AM"
"61",64485,"1/1/1997 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,196.84,NA,201.91,207.59,188.48,NA,"8/7/2020 9:08:35 AM"
"62",64486,"2/1/1997 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,196.84,NA,206.8,203.81,189.53,NA,"8/7/2020 9:08:35 AM"
"63",64487,"3/1/1997 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,199.34,NA,206.83,196.89,187.74,NA,"8/7/2020 9:08:35 AM"
"64",64488,"4/1/1997 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,196.84,NA,204.33,201.5,183.46,NA,"8/7/2020 9:08:35 AM"
"65",64489,"5/1/1997 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,189.34,NA,201.83,205.09,179.31,NA,"8/7/2020 9:08:35 AM"
"66",64490,"6/1/1997 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,199.34,NA,206.83,197.62,167.68,NA,"8/7/2020 9:08:35 AM"
"67",64491,"7/1/1997 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,189.34,NA,206.83,199.31,174.55,NA,"8/7/2020 9:08:35 AM"
"68",64492,"8/1/1997 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,171.71,NA,186.75,177.37,172.91,NA,"8/7/2020 9:08:35 AM"
"69",64493,"9/1/1997 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,167.71,NA,187.75,169.87,176.77,NA,"8/7/2020 9:08:35 AM"
"70",64494,"10/1/1997 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,186.21,NA,192.75,173.37,175.86,NA,"8/7/2020 9:08:35 AM"
"71",64495,"11/1/1997 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,184.21,NA,187.75,171.87,171.3,NA,"8/7/2020 9:08:35 AM"
"72",64496,"12/1/1997 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,180.21,NA,190.25,178.87,181.28,NA,"8/7/2020 9:08:35 AM"
"73",64497,"1/1/1998 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,186.81,NA,194.27,167.82,176.26,NA,"8/7/2020 9:08:35 AM"
"74",64498,"2/1/1998 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,186.81,NA,187.9,173.05,177.22,NA,"8/7/2020 9:08:35 AM"
"75",64499,"3/1/1998 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,186.81,NA,171.97,177.64,173.49,NA,"8/7/2020 9:08:35 AM"
"76",64500,"4/1/1998 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,160,NA,197.45,179.17,171.06,NA,"8/7/2020 9:08:35 AM"
"77",64501,"5/1/1998 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,186.81,NA,175,165,171.01,NA,"8/7/2020 9:08:35 AM"
"78",64502,"6/1/1998 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,186.81,NA,183,169,171.03,NA,"8/7/2020 9:08:35 AM"
"79",64503,"7/1/1998 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,186.81,NA,161,176.11,168.4,NA,"8/7/2020 9:08:35 AM"
"80",64504,"8/1/1998 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,144.44,NA,149.35,122.08,151.91,NA,"8/7/2020 9:08:35 AM"
"81",64505,"9/1/1998 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,136.11,NA,132.03,121.83,158.77,NA,"8/7/2020 9:08:35 AM"
"82",64506,"10/1/1998 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,150,NA,128.79,152.05,160.07,NA,"8/7/2020 9:08:35 AM"
"83",64507,"11/1/1998 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,194.44,NA,140.69,154.97,151.82,NA,"8/7/2020 9:08:35 AM"
"84",64508,"12/1/1998 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,183.33,NA,171,148.39,145.18,NA,"8/7/2020 9:08:35 AM"
"85",64509,"1/1/1999 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,144.44,NA,171,173.98,139.01,NA,"8/7/2020 9:08:35 AM"
"86",64510,"2/1/1999 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,144.44,NA,173.16,153.51,142.58,NA,"8/7/2020 9:08:35 AM"
"87",64511,"3/1/1999 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,155.56,NA,173.16,162.28,142.71,NA,"8/7/2020 9:08:35 AM"
"88",64512,"4/1/1999 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,145,NA,168.83,172.51,140.05,NA,"8/7/2020 9:08:35 AM"
"89",64513,"5/1/1999 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,144.44,NA,170,171,137.07,NA,"8/7/2020 9:08:35 AM"
"90",64514,"6/1/1999 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,144.44,NA,165,167,141.99,NA,"8/7/2020 9:08:35 AM"
"91",64515,"7/1/1999 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,144.44,NA,165,153.51,137.46,NA,"8/7/2020 9:08:35 AM"
"92",64516,"8/1/1999 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,150.41,NA,166.12,152.72,148.19,NA,"8/7/2020 9:08:35 AM"
"93",64517,"9/1/1999 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,171.81,NA,157.72,161.35,153.5,NA,"8/7/2020 9:08:35 AM"
"94",64518,"10/1/1999 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,181.82,NA,156.25,161.87,150.48,NA,"8/7/2020 9:08:35 AM"
"95",64519,"11/1/1999 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,166.67,NA,150,152.88,142.72,NA,"8/7/2020 9:08:35 AM"
"96",64520,"12/1/1999 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,166.67,NA,156.25,153.15,144.66,NA,"8/7/2020 9:08:35 AM"
"97",64521,"1/1/2000 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,160.28,NA,156.25,147.15,148.16,NA,"8/7/2020 9:08:35 AM"
"98",64522,"2/1/2000 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,151.52,NA,156.25,162.5,139.77,NA,"8/7/2020 9:08:35 AM"
"99",64523,"3/1/2000 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,166.67,NA,187.5,157.3,144.98,NA,"8/7/2020 9:08:35 AM"
"100",64524,"4/1/2000 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,179.92,NA,181.82,160.56,151.32,NA,"8/7/2020 9:08:35 AM"
"101",64525,"5/1/2000 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,151.52,NA,187.5,149.81,138.22,NA,"8/7/2020 9:08:35 AM"
"102",64526,"6/1/2000 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,158.54,NA,187.5,155.53,158.35,NA,"8/7/2020 9:08:35 AM"
"103",64527,"7/1/2000 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,160.87,NA,173.47,150.73,140.17,NA,"8/7/2020 9:08:35 AM"
"104",64528,"8/1/2000 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,143.13,NA,135.06,127.04,143.33,NA,"8/7/2020 9:08:35 AM"
"105",64529,"9/1/2000 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,163,NA,152.46,138.21,140.4,NA,"8/7/2020 9:08:35 AM"
"106",64530,"10/1/2000 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,146.1,NA,158.33,133.91,148.35,NA,"8/7/2020 9:08:35 AM"
"107",64531,"11/1/2000 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,171.21,NA,184.05,144.42,150.07,NA,"8/7/2020 9:08:35 AM"
"108",64532,"12/1/2000 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,194.81,NA,181.99,150.49,154.56,NA,"8/7/2020 9:08:35 AM"
"109",64533,"1/1/2001 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,184.85,NA,185.15,158.69,144.96,NA,"8/7/2020 9:08:35 AM"
"110",64534,"2/1/2001 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,181.82,NA,184.21,164.53,145.04,NA,"8/7/2020 9:08:35 AM"
"111",64535,"3/1/2001 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,181.82,NA,193.63,166.95,137.06,NA,"8/7/2020 9:08:35 AM"
"112",64536,"4/1/2001 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,190.91,NA,191.3,151.79,144.89,NA,"8/7/2020 9:08:35 AM"
"113",64537,"5/1/2001 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,188.17,NA,189.14,165.99,151.4,NA,"8/7/2020 9:08:35 AM"
"114",64538,"6/1/2001 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,187.01,NA,194.49,165.99,146.16,NA,"8/7/2020 9:08:35 AM"
"115",64539,"7/1/2001 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,190.8,NA,200.27,165.99,150.88,NA,"8/7/2020 9:08:35 AM"
"116",64540,"8/1/2001 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,192.83,NA,169.04,150.5,150.24,NA,"8/7/2020 9:08:35 AM"
"117",64541,"9/1/2001 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,186.89,NA,172.83,160.88,158.88,NA,"8/7/2020 9:08:35 AM"
"118",64542,"10/1/2001 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,200,NA,195.37,157.02,160.21,NA,"8/7/2020 9:08:35 AM"
"119",64543,"11/1/2001 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,185,NA,212,166,161.3,NA,"8/7/2020 9:08:35 AM"
"120",64544,"12/1/2001 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,190,NA,187.26,175,161.1,NA,"8/7/2020 9:08:35 AM"
"121",64545,"1/1/2002 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,190,NA,198.73,179.35,167.65,NA,"8/7/2020 9:08:35 AM"
"122",64546,"2/1/2002 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,185,NA,198.94,182.24,175.33,NA,"8/7/2020 9:08:35 AM"
"123",64547,"3/1/2002 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,195,NA,222,182.15,182.74,NA,"8/7/2020 9:08:35 AM"
"124",64548,"4/1/2002 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,190,NA,200.22,176.17,179.44,NA,"8/7/2020 9:08:35 AM"
"125",64549,"5/1/2002 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,184.8,NA,217,186,185.19,NA,"8/7/2020 9:08:35 AM"
"126",64550,"6/1/2002 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,206,NA,209,186,182.44,NA,"8/7/2020 9:08:35 AM"
"127",64551,"7/1/2002 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,192.34,NA,221,184,192.89,NA,"8/7/2020 9:08:35 AM"
"128",64552,"8/1/2002 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,184,NA,180,159,182.41,NA,"8/7/2020 9:08:35 AM"
"129",64553,"9/1/2002 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,160,NA,171,158,196.69,NA,"8/7/2020 9:08:35 AM"
"130",64554,"10/1/2002 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,166,NA,249,173,209.04,NA,"8/7/2020 9:08:35 AM"
"131",64555,"11/1/2002 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,166,NA,250,175,188.87,NA,"8/7/2020 9:08:35 AM"
"132",64556,"12/1/2002 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,170,NA,215,175,194.89,NA,"8/7/2020 9:08:35 AM"
"133",64557,"1/1/2003 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,180,NA,205,179,188.79,NA,"8/7/2020 9:08:35 AM"
"134",64558,"2/1/2003 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,175,NA,203,188,199.79,NA,"8/7/2020 9:08:35 AM"
"135",64559,"3/1/2003 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,185,NA,203,185,195.71,NA,"8/7/2020 9:08:35 AM"
"136",64560,"4/1/2003 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,199,NA,210,181,197.21,NA,"8/7/2020 9:08:35 AM"
"137",64561,"5/1/2003 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,203,NA,214,181,191.1,NA,"8/7/2020 9:08:35 AM"
"138",64562,"6/1/2003 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,200,NA,218,183,181.5,NA,"8/7/2020 9:08:35 AM"
"139",64563,"7/1/2003 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,200,NA,217,167,179.72,NA,"8/7/2020 9:08:35 AM"
"140",64564,"8/1/2003 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,179,NA,186,149,145.89,NA,"8/7/2020 9:08:35 AM"
"141",64565,"9/1/2003 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,191,NA,200,162,160.8,NA,"8/7/2020 9:08:35 AM"
"142",64566,"10/1/2003 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,200,NA,217,160,144.72,NA,"8/7/2020 9:08:35 AM"
"143",64567,"11/1/2003 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,205,NA,199,169,162.89,NA,"8/7/2020 9:08:35 AM"
